id,año,valor,codCuenta_id,codEmpresa_id
90,2018,6554433.00,1.00.1,AFP
91,2018,24291644.00,1.00.2,AFP
92,2018,2612728.00,1.00.3,AFP
93,2018,36421.00,1.00.4,AFP
94,2018,33495226.00,1.00.5,AFP
95,2018,3424.00,1.00.6,AFP
96,2018,1479382.00,1.00.7,AFP
97,2018,1746447.00,1.00.8,AFP
98,2018,1451327.00,1.00.9,AFP
99,2018,4680580.00,1.00.10,AFP
100,2018,38175806.00,1.00.11,AFP
101,2018,3499537.00,2.00.1,AFP
102,2018,6902952.00,2.00.2,AFP
103,2018,10402489.00,2.00.3,AFP
104,2018,3770953.00,2.00.4,AFP
105,2018,3770953.00,2.00.5,AFP
106,2018,10000000.00,2.00.6,AFP
107,2018,2000000.00,2.00.7,AFP
108,2018,11582.00,2.00.8,AFP
109,2018,12013946.00,2.00.9,AFP
110,2018,24002364.00,2.00.10,AFP
111,2018,38175806.00,2.00.11,AFP
112,2018,59860946.00,3.00.1,AFP
113,2018,29315780.00,3.00.2,AFP
114,2018,30545166.00,3.00.3,AFP
115,2018,13358215.00,3.00.4,AFP
116,2018,1148347.00,3.00.5,AFP
117,2018,73692.00,3.00.6,AFP
118,2018,32613.00,3.00.7,AFP
119,2018,112158.00,3.00.8,AFP
120,2018,18423858.00,3.00.9,AFP
121,2018,5629120.00,3.00.10,AFP
122,2018,782054.00,3.00.11,AFP
123,2018,12012684.00,3.00.12,AFP
124,2018,1262.00,3.00.13,AFP
125,2018,12013946.00,3.00.14,AFP
228,2018,10829496.00,10.00.01,CTES
229,2018,58812511.00,10.00.02,CTES
230,2018,15219558.00,10.00.03,CTES
231,2018,9017836.00,10.00.04,CTES
232,2018,1609427.00,10.00.05,CTES
233,2018,95488828.00,10.00.06,CTES
234,2018,500236161.00,10.00.07,CTES
235,2018,18440991.00,10.00.08,CTES
236,2018,102794837.00,10.00.09,CTES
237,2018,130343185.00,10.00.10,CTES
238,2018,1143.00,10.00.11,CTES
239,2018,231819.00,10.00.12,CTES
240,2018,343338.00,10.00.13,CTES
241,2018,2771172.00,10.00.14,CTES
242,2018,111048.00,10.00.15,CTES
243,2018,755273694.00,10.00.16,CTES
244,2018,850762522.00,10.00.17,CTES
245,2018,85708744.00,20.00.01,CTES
246,2018,10234954.00,20.00.02,CTES
247,2018,4748793.00,20.00.03,CTES
248,2018,176063.00,20.00.04,CTES
249,2018,1525788.00,20.00.05,CTES
250,2018,9012643.00,20.00.06,CTES
251,2018,3346909.00,20.00.07,CTES
252,2018,2478691.00,20.00.08,CTES
253,2018,117232585.00,20.00.09,CTES
254,2018,54487671.00,20.00.10,CTES
255,2018,39316.00,20.00.11,CTES
256,2018,2000000.00,20.00.12,CTES
257,2018,3368537.00,20.00.13,CTES
258,2018,14121149.00,20.00.14,CTES
259,2018,1859221.00,20.00.15,CTES
260,2018,448024800.00,20.00.16,CTES
261,2018,67992441.00,20.00.17,CTES
262,2018,140556947.00,20.00.18,CTES
263,2018,208638.00,20.00.19,CTES
264,2018,656782826.00,20.00.20,CTES
265,2018,871217.00,20.00.21,CTES
266,2018,657654043.00,20.00.22,CTES
267,2018,850762522.00,20.00.23,CTES
268,2018,425485813.00,30.00.01,CTES
269,2018,162953708.00,30.00.02,CTES
270,2018,262532105.00,30.00.03,CTES
271,2018,79302136.00,30.00.04,CTES
272,2018,79566367.00,30.00.05,CTES
273,2018,103663602.00,30.00.06,CTES
274,2018,6110704.00,30.00.07,CTES
275,2018,501488.00,30.00.08,CTES
276,2018,109272818.00,30.00.09,CTES
277,2018,22232150.00,30.00.10,CTES
278,2018,87040668.00,30.00.11,CTES
390,2018,963620.77,10.000.01,SARAM
391,2018,396034.67,10.000.02,SARAM
392,2018,2023373.27,10.000.03,SARAM
393,2018,3969216.02,10.000.04,SARAM
394,2018,285326.32,10.000.05,SARAM
395,2018,7637571.05,10.000.06,SARAM
396,2018,9772034.03,10.000.07,SARAM
397,2018,158852.48,10.000.08,SARAM
398,2018,5500.17,10.000.09,SARAM
399,2018,1526402.22,10.000.10,SARAM
400,2018,11462788.90,10.000.11,SARAM
401,2018,19100359.95,10.000.12,SARAM
402,2018,4971536.97,20.000.01,SARAM
403,2018,1865185.51,20.000.02,SARAM
404,2018,39792.90,20.000.03,SARAM
405,2018,329190.81,20.000.04,SARAM
406,2018,183.26,20.000.05,SARAM
407,2018,7205889.45,20.000.06,SARAM
408,2018,5230657.80,20.000.07,SARAM
409,2018,174715.41,20.000.08,SARAM
410,2018,3150000.00,20.000.09,SARAM
411,2018,630000.00,20.000.10,SARAM
412,2018,1951407.90,20.000.11,SARAM
413,2018,757689.39,20.000.12,SARAM
414,2018,6489097.29,20.000.13,SARAM
415,2018,19100359.95,20.000.14,SARAM
416,2018,33916471.89,30.000.01,SARAM
417,2018,28223851.19,30.000.02,SARAM
418,2018,5692620.70,30.000.03,SARAM
419,2018,4386368.72,30.000.04,SARAM
420,2018,1306251.98,30.000.05,SARAM
421,2018,688108.56,30.000.06,SARAM
422,2018,15640.04,30.000.07,SARAM
423,2018,602503.38,30.000.08,SARAM
424,2018,143407.98,30.000.09,SARAM
425,2018,17413.92,30.000.10,SARAM
426,2018,441681.47,30.000.11,SARAM
461,2018,1131316.00,11.00.01,TGSV
462,2018,0.00,11.00.02,TGSV
463,2018,4202526.00,11.00.03,TGSV
464,2018,13387618.00,11.00.04,TGSV
465,2018,48615.00,11.00.05,TGSV
466,2018,70348.00,11.00.06,TGSV
467,2018,18840423.00,11.00.07,TGSV
468,2018,363740.00,11.00.08,TGSV
469,2018,1453301.00,11.00.09,TGSV
470,2018,111246.00,11.00.10,TGSV
471,2018,44293.00,11.00.11,TGSV
472,2018,1972580.00,11.00.12,TGSV
473,2018,20813003.00,11.00.13,TGSV
474,2018,0.00,12.00.01,TGSV
475,2018,5646245.00,12.00.02,TGSV
476,2018,4729671.00,12.00.03,TGSV
477,2018,3500000.00,12.00.04,TGSV
478,2018,1060858.00,12.00.05,TGSV
479,2018,68007.00,12.00.06,TGSV
480,2018,15004781.00,12.00.07,TGSV
481,2018,7476100.00,12.00.08,TGSV
482,2018,10483.00,12.00.09,TGSV
483,2018,1678361.00,12.00.10,TGSV
484,2018,5808222.00,12.00.11,TGSV
485,2018,20813003.00,12.00.12,TGSV
486,2018,4078519.00,13.00.01,TGSV
487,2018,3131698.00,13.00.02,TGSV
488,2018,946821.00,13.00.03,TGSV
489,2018,2284635.00,13.00.04,TGSV
490,2018,1337814.00,13.00.05,TGSV
491,2018,138980.00,13.00.06,TGSV
492,2018,1436598.00,13.00.07,TGSV
493,2018,31227.00,13.00.08,TGSV
494,2018,1405371.00,13.00.09,TGSV
531,2019,7823328.00,1.00.1,AFP
532,2019,24232442.00,1.00.2,AFP
533,2019,573207.00,1.00.3,AFP
534,2019,25643.00,1.00.4,AFP
535,2019,32654620.00,1.00.5,AFP
536,2019,3074.00,1.00.6,AFP
537,2019,1376722.00,1.00.7,AFP
538,2019,2737736.00,1.00.8,AFP
539,2019,1415678.00,1.00.9,AFP
540,2019,5533210.00,1.00.10,AFP
541,2019,38187830.00,1.00.11,AFP
542,2019,3851103.00,2.00.1,AFP
543,2019,5847352.00,2.00.2,AFP
544,2019,9698455.00,2.00.3,AFP
545,2019,3829899.00,2.00.4,AFP
546,2019,3829899.00,2.00.5,AFP
